prompt,relation
The word heterocyclic relates to compound,hypernymy
heterocyclic and compound are connected,hypernymy
Consider heterocyclic and compound together,hypernymy
The word vocalise relates to vocalize,synonymy
vocalise and vocalize are connected,synonymy
Consider vocalise and vocalize together,synonymy
The word feel relates to palpate,synonymy
feel and palpate are connected,synonymy
Consider feel and palpate together,synonymy
The word aldol relates to smilax,random
aldol and smilax are connected,random
Consider aldol and smilax together,random
The word compression relates to decompression,antonymy
compression and decompression are connected,antonymy
Consider compression and decompression together,antonymy
The word expanse relates to stretch,hyponymy
expanse and stretch are connected,hyponymy
Consider expanse and stretch together,hyponymy
The word overexpose relates to underexpose,antonymy
overexpose and underexpose are connected,antonymy
Consider overexpose and underexpose together,antonymy
The word indicator relates to level,hyponymy
indicator and level are connected,hyponymy
Consider indicator and level together,hyponymy
The word deglycerolize relates to glycerolize,antonymy
deglycerolize and glycerolize are connected,antonymy
Consider deglycerolize and glycerolize together,antonymy
The word symptom relates to pyuria,hyponymy
symptom and pyuria are connected,hyponymy
Consider symptom and pyuria together,hyponymy
The word address relates to lecture,hyponymy
address and lecture are connected,hyponymy
Consider address and lecture together,hyponymy
The word retail relates to wholesale,antonymy
retail and wholesale are connected,antonymy
Consider retail and wholesale together,antonymy
The word disqualify relates to eelpout,random
disqualify and eelpout are connected,random
Consider disqualify and eelpout together,random
The word reasonableness relates to sensibleness,hyponymy
reasonableness and sensibleness are connected,hyponymy
Consider reasonableness and sensibleness together,hyponymy
The word ancestry relates to collecting,random
ancestry and collecting are connected,random
Consider ancestry and collecting together,random
The word appreciation relates to depreciation,antonymy
appreciation and depreciation are connected,antonymy
Consider appreciation and depreciation together,antonymy
The word dribble relates to drip,synonymy
dribble and drip are connected,synonymy
Consider dribble and drip together,synonymy
The word capitalization relates to falling,random
capitalization and falling are connected,random
Consider capitalization and falling together,random
The word foe relates to friend,antonymy
foe and friend are connected,antonymy
Consider foe and friend together,antonymy
The word generality relates to particularity,antonymy
generality and particularity are connected,antonymy
Consider generality and particularity together,antonymy
The word soiled relates to tweediness,random
soiled and tweediness are connected,random
Consider soiled and tweediness together,random
The word worker relates to shelver,hyponymy
worker and shelver are connected,hyponymy
Consider worker and shelver together,hyponymy
The word object relates to makeweight,hyponymy
object and makeweight are connected,hyponymy
Consider object and makeweight together,hyponymy
The word anthropomorphize relates to impute,hypernymy
anthropomorphize and impute are connected,hypernymy
Consider anthropomorphize and impute together,hypernymy
The word funk relates to warragal,random
funk and warragal are connected,random
Consider funk and warragal together,random
The word swindle relates to bunco,hyponymy
swindle and bunco are connected,hyponymy
Consider swindle and bunco together,hyponymy
The word anthem relates to hymn,synonymy
anthem and hymn are connected,synonymy
Consider anthem and hymn together,synonymy
The word coat relates to tar,hyponymy
coat and tar are connected,hyponymy
Consider coat and tar together,hyponymy
The word hilarity relates to thundering,random
hilarity and thundering are connected,random
Consider hilarity and thundering together,random
The word decorate relates to prank,hyponymy
decorate and prank are connected,hyponymy
Consider decorate and prank together,hyponymy
The word improbable relates to probable,antonymy
improbable and probable are connected,antonymy
Consider improbable and probable together,antonymy
The word sheer relates to steer,hypernymy
sheer and steer are connected,hypernymy
Consider sheer and steer together,hypernymy
The word heater relates to hummer,synonymy
heater and hummer are connected,synonymy
Consider heater and hummer together,synonymy
The word effluent relates to mottled,random
effluent and mottled are connected,random
Consider effluent and mottled together,random
The word heaviness relates to lightness,antonymy
heaviness and lightness are connected,antonymy
