word1,word2,direction
gauze,net,hyponym_to_hypernym
boomerang,projectile,hyponym_to_hypernym
saturation,filling,hyponym_to_hypernym
tusk,tooth,hyponym_to_hypernym
roundhead,person,hyponym_to_hypernym
flannelbush,shrub,hyponym_to_hypernym
right,justice,hyponym_to_hypernym
peduncle,tract,hyponym_to_hypernym
atrium,court,hyponym_to_hypernym
miscarriage,abortion,hyponym_to_hypernym
bombshell,surprise,hyponym_to_hypernym
matrix,mold,hyponym_to_hypernym
feudalism,structure,hyponym_to_hypernym
gusher,oiler,hyponym_to_hypernym
correction,drop,hyponym_to_hypernym
derringer,pistol,hyponym_to_hypernym
drudge,laborer,hyponym_to_hypernym
hardtack,mahogany,hyponym_to_hypernym
kvetch,complaint,hyponym_to_hypernym
comeback,reappearance,hyponym_to_hypernym
superannuation,pension,hyponym_to_hypernym
weakening,decrease,hyponym_to_hypernym
stirrup,support,hyponym_to_hypernym
sight,compass,hyponym_to_hypernym
orach,herb,hyponym_to_hypernym
needlepoint,lace,hyponym_to_hypernym
inflation,explosion,hyponym_to_hypernym
shock,earthquake,hyponym_to_hypernym
fowler,hunter,hyponym_to_hypernym
weekend,period,hyponym_to_hypernym
affray,quarrel,hyponym_to_hypernym
trample,sound,hyponym_to_hypernym
pivot,marcher,hyponym_to_hypernym
instrument,assistant,hyponym_to_hypernym
stockpot,pot,hyponym_to_hypernym
galactocele,cyst,hyponym_to_hypernym
alcohol,liquid,hyponym_to_hypernym
accumulation,increase,hyponym_to_hypernym
appeal,proceeding,hyponym_to_hypernym
solenogaster,gastropod,hyponym_to_hypernym
glory,beauty,hyponym_to_hypernym
spaghetti,pasta,hyponym_to_hypernym
foot,walk,hyponym_to_hypernym
forbearance,delay,hyponym_to_hypernym
lubricant,substance,hyponym_to_hypernym
spondee,foot,hyponym_to_hypernym
best,person,hyponym_to_hypernym
face,status,hyponym_to_hypernym
bust,sculpture,hyponym_to_hypernym
gooseberry,shrub,hyponym_to_hypernym
homeotherm,animal,hyponym_to_hypernym
ichthyosaur,archosaur,hyponym_to_hypernym
militarism,hawkishness,hyponym_to_hypernym
chowchow,relish,hyponym_to_hypernym
perfectibility,capability,hyponym_to_hypernym
lull,calmness,hyponym_to_hypernym
part,concept,hyponym_to_hypernym
plastic,solid,hyponym_to_hypernym
budgerigar,parakeet,hyponym_to_hypernym
production,act,hyponym_to_hypernym
sinker,weight,hyponym_to_hypernym
isogone,line,hyponym_to_hypernym
somniloquy,process,hyponym_to_hypernym
coffeepot,pot,hyponym_to_hypernym
defect,imperfection,hyponym_to_hypernym
aggro,aggravation,hyponym_to_hypernym
energy,force,hyponym_to_hypernym
counterculture,culture,hyponym_to_hypernym
scandal,trouble,hyponym_to_hypernym
woodbine,honeysuckle,hyponym_to_hypernym
theory,belief,hyponym_to_hypernym
sulfamethoxazole,sulfa,hyponym_to_hypernym
rustic,commoner,hyponym_to_hypernym
magnet,device,hyponym_to_hypernym
psalmody,singing,hyponym_to_hypernym
attribute,abstraction,hyponym_to_hypernym
eclair,chou,hyponym_to_hypernym
screed,writing,hyponym_to_hypernym
disaster,destruction,hyponym_to_hypernym
coagulant,agent,hyponym_to_hypernym
sarcosporidian,sporozoan,hyponym_to_hypernym
tor,rock,hyponym_to_hypernym
pacifism,doctrine,hyponym_to_hypernym
abetalipoproteinemia,hypobetalipoproteinemia,hyponym_to_hypernym
reputation,notoriety,hyponym_to_hypernym
ironmongery,merchandise,hyponym_to_hypernym
urgency,situation,hyponym_to_hypernym
avoidance,rejection,hyponym_to_hypernym
pressing,part,hyponym_to_hypernym
reset,device,hyponym_to_hypernym
inconstancy,changeableness,hyponym_to_hypernym
knee,ginglymus,hyponym_to_hypernym
hyperpnea,breathing,hyponym_to_hypernym
clawback,restitution,hyponym_to_hypernym
homeless,unfortunate,hyponym_to_hypernym
dowel,fastener,hyponym_to_hypernym
enchantment,sorcery,hyponym_to_hypernym
octet,opus,hyponym_to_hypernym
doorsill,sill,hyponym_to_hypernym
louse,insect,hyponym_to_hypernym
backscratcher,opportunist,hyponym_to_hypernym
phenylephrine,adrenergic,hyponym_to_hypernym
splinter,bit,hyponym_to_hypernym
protozoologist,zoologist,hyponym_to_hypernym
rudd,cyprinid,hyponym_to_hypernym
admission,entrance,hyponym_to_hypernym
persimmon,berry,hyponym_to_hypernym
pichi,shrub,hyponym_to_hypernym
subsidiary,company,hyponym_to_hypernym
somniloquy,sleeping,hyponym_to_hypernym
snook,robalo,hyponym_to_hypernym
platform,level,hyponym_to_hypernym
enchantress,occultist,hyponym_to_hypernym
shelter,structure,hyponym_to_hypernym
affinity,attraction,hyponym_to_hypernym
mastaba,grave,hyponym_to_hypernym
antiarrhythmic,medicine,hyponym_to_hypernym
hydronephrosis,pathology,hyponym_to_hypernym
words,language,hyponym_to_hypernym
fabric,artifact,hyponym_to_hypernym
spirituality,inwardness,hyponym_to_hypernym
appointment,occupation,hyponym_to_hypernym
consideration,thinking,hyponym_to_hypernym
security,assets,hyponym_to_hypernym
charcoal,drawing,hyponym_to_hypernym
superposition,placement,hyponym_to_hypernym
edict,announcement,hyponym_to_hypernym
three,digit,hyponym_to_hypernym
bummer,irritation,hyponym_to_hypernym
haystack,stack,hyponym_to_hypernym
allotment,share,hyponym_to_hypernym
ferment,substance,hyponym_to_hypernym
portfolio,list,hyponym_to_hypernym
metropolitan,resident,hyponym_to_hypernym
ballplayer,player,hyponym_to_hypernym
conspiracy,set,hyponym_to_hypernym
swoop,foray,hyponym_to_hypernym
heave,movement,hyponym_to_hypernym
thirtieth,rank,hyponym_to_hypernym
ballast,gravel,hyponym_to_hypernym
master,employer,hyponym_to_hypernym
ordinand,clergyman,hyponym_to_hypernym
tenor,pitch,hyponym_to_hypernym
interoperability,ability,hyponym_to_hypernym
usher,official,hyponym_to_hypernym
point,outlet,hyponym_to_hypernym
courser,hunter,hyponym_to_hypernym
ferroconcrete,concrete,hyponym_to_hypernym
babysitting,care,hyponym_to_hypernym
spawner,fish,hyponym_to_hypernym
birdfeeder,device,hyponym_to_hypernym
banzai,cheer,hyponym_to_hypernym
ultimacy,degree,hyponym_to_hypernym
upholder,supporter,hyponym_to_hypernym
